iso3_epoch,iso3,epoch,mts_pca_3feat_mean,mts_milex_mean,part_n_war_mean,part_n_minor_mean,war_minor_ratio_mean,extraterritorial_share_mean,vdem_v2x_polyarchy_mean,conflict_active_pct,log_brd_mean
DZA_2000s,DZA,2000s,0.36186096919480865,0.5994834098405599,0.0,1.4,0.0,0.0,0.3302,1.0,6.22633902129789
DZA_2010s,DZA,2010s,0.4041545297700562,0.6693831823094716,0.0,1.1,0.0,0.0,0.3165,0.9,4.876722876509988
DZA_2020s,DZA,2020s,0.39141847816416087,0.6906786345344308,0.0,0.2,0.0,0.0,0.271,0.2,1.824549292051046
ECU_1990s,ECU,1990s,0.33594010756401943,0.6194294769151232,0.0,0.09090909090909091,0.0,0.0,0.704,0.09090909090909091,0.0
ECU_2000s,ECU,2000s,0.24666916676510264,0.5222753767148598,0.0,0.0,0.12857142857142856,1.0,0.6771999999999999,0.0,0.0
ECU_2010s,ECU,2010s,0.2835000021716553,0.5740866933297261,0.0,0.0,0.12857142857142856,1.0,0.571,0.0,0.0
ECU_2020s,ECU,2020s,0.2652051351747395,0.5689604073907344,0.0,0.2,0.0,1.0,0.6388,0.2,0.0
EGY_1990s,EGY,1990s,0.36865231024618234,0.5647879374906801,0.09090909090909091,0.5454545454545454,0.14285714285714285,0.14285714285714285,0.21627272727272728,0.6363636363636364,4.044644893669828
EGY_2000s,EGY,2000s,0.3642414705662075,0.589128348596822,0.0,0.0,0.12857142857142856,1.0,0.2109,0.0,0.0
EGY_2010s,EGY,2010s,0.37155657851171986,0.58292498521567,0.3,3.4,0.07738095238095237,1.3190476190476192,0.19,0.7,5.746203190540153
EGY_2020s,EGY,2020s,0.36304281561967866,0.5775923537718575,0.2,3.6,0.05,0.95,0.18239999999999998,1.0,5.1647859739235145
ESP_1990s,ESP,1990s,0.3911120407794692,0.7084714667555931,0.18181818181818182,0.09090909090909091,0.75,0.75,0.8925454545454545,0.18181818181818182,1.6274564179367788
ESP_2000s,ESP,2000s,0.38903342656442613,0.7162929853080876,0.7,0.8,0.4875,1.3333333333333335,0.8836999999999999,0.8,0.0
ESP_2010s,ESP,2010s,0.3666118318623884,0.7091939732466354,0.5,1.1,0.4375,1.4166666666666667,0.868,0.8,0.0
ESP_2020s,ESP,2020s,0.37313130469329664,0.7229852823720656,0.2,3.0,0.06666666666666667,1.1333333333333333,0.8526,1.0,0.0
EST_1990s,EST,1990s,0.170215805140256,0.34736050685274344,0.0,0.0,0.12857142857142856,1.0,0.795,0.0,0.0
EST_2000s,EST,2000s,0.21402301337709714,0.43058906637251715,1.1,1.2,0.49722222222222223,2.1666666666666665,0.8705999999999999,0.6,0.0
EST_2010s,EST,2010s,0.22524797807236804,0.46742999285953274,0.5,2.1,0.25,1.65,0.8929,1.0,0.0
EST_2020s,EST,2020s,0.2620785438487069,0.5041945744149632,0.2,1.4,0.125,1.0,0.8958,0.8,0.0
ETH_1990s,ETH,1990s,0.22255916784647412,0.45618086251758627,0.7272727272727273,1.7272727272727273,0.215,0.0,0.21454545454545454,0.9090909090909091,8.982777981045716
ETH_2000s,ETH,2000s,0.22441071251892453,0.4835326898314567,0.4,2.3,0.11666666666666665,0.2,0.24359999999999998,1.0,4.7318028369214575
ETH_2010s,ETH,2010s,0.25651064873642654,0.45512140486049824,0.9,2.7,0.27,0.6033333333333333,0.24090000000000003,1.0,3.970291913552122
